"title","external_video_id","video_shortened_id"
"I Believe | Hillary Clinton","gCRhpJxNabc",429
"Vote for the CENTURY 21 SuperBowl Commercial!","7EI-8CDI8DA",430
"Clip B","V8XvOeVqSTg",431
"Why does watching how-to shows on HGTV relax you? | Quick Question | Hillary Clinton","q98NpCYtB5c",432
"Fighting For You | Hillary Clinton","QfwhI5N95y8",434
"| Hillary Clinton","vgG7vk6gKps",435
"Overnight | Hillary Clinton","ggnVd_IZHzw",436
"Vote March 15 | Hillary Clinton","0E-MxF0aahA",438
"Hillary's Official Campaign Launch: Highlights! | Hillary Clinton","DZuVquSU_Uw",439
"Inequality | Hillary Clinton","d1RbRWc6v5o",440
"Planned Parenthood| Hillary Clinton","EK30NZBx4m4",441
"Hillary Clinton thanks SEIU members for their endorsement | Hillary for Labor | Hillary Clinton","QN5Mjfpngt8",442
"Trade War","adeKc6dbsI0",443
"Donald Trump & Robert Kiyosaki: Midas Touch- Strength of Character","X6QNKmXbYlU",444
"A question about the Girl Scouts | Hillary Clinton","BJRHHSnXDPo",445
"Get Out to Vote - Ohio","JprnzR9KsVo",446
"A Picture for the Mantel | Hillary for New Hampshire | Hillary Clinton","_BdxSCJyiKU",447
"What He Said: Cruz Goes Off on Trump","X7ijs1soY90",448
"Tom Harkin Endorses Hillary Clinton for President in 2016 | Hillary Clinton","hqzI41PmmBc",449
"Stand | Hillary Clinton","hYl69PAeN-4",450
"Life Changing Experience - Donald J. Trump for President","FpkDL3G7AoY",452
"The Same | Hillary Clinton","oxNZ14u7DV8",453
"Get Out To Vote - Connecticut","3TLfvYgPwRo",456
"Fact-Free GOP","JR9_IdQG584",457
"Self Funding Campaign","qMJv83uYfRw",458
"The GOP on Repealing Obamacare... They're All the Same.","a31Piy2Gyhg",459
"Christina Aguilera | Hillary Clinton","4QbR_srfO8w",460
"From The Desk Of Donald Trump: The Republicans must defeat Obama....","fZb9ic7Vuz4",461
"""It Makes Binders Full of Women Seem Quaint""","_IIZaQrzAPE",462
"From The Desk Of Donald Trump 3/1/11","B5Yc78ieF60",463
