"views","date_id","candidate"
59937,20160131,"Clinton"
491,20160222,"Clinton"
14737,20160319,"Trump"
7122,20160524,"Clinton"
9137,20160328,"Trump"
83,20160206,"Clinton"
217,20160225,"Clinton"
14178,20160412,"Trump"
8306,20160525,"Trump"
211364,20160307,"Trump"
57,20160427,"Trump"
670,20160421,"Clinton"
15870,20160313,"Trump"
44,20151229,"Clinton"
1078,20151114,"Trump"
30317,20151215,"Clinton"
1,20151206,"Clinton"
246,20160521,"Clinton"
2951,20160423,"Clinton"
892,20160122,"Clinton"
205,20151103,"Clinton"
116,20151118,"Clinton"
69614,20160315,"Trump"
15812,20160413,"Clinton"
13528,20160506,"Trump"
195,20160131,"Clinton"
119,20151029,"Clinton"
23158,20160304,"Trump"
3559,20160524,"Clinton"
22001,20160314,"Clinton"
48195,20160420,"Trump"
930,20151111,"Trump"
6304,20160520,"Trump"
1283,20151212,"Trump"
261,20160402,"Clinton"
152,20160422,"Clinton"
21475,20160317,"Trump"
12431,20160219,"Trump"
6531,20160528,"Trump"
171,20151215,"Clinton"
130,20160521,"Trump"
4028,20151102,"Trump"
2555,20151126,"Clinton"
14200,20160320,"Trump"
10235,20160416,"Clinton"
30675,20160224,"Trump"
3830,20151127,"Trump"
24501,20160206,"Clinton"
125,20160413,"Clinton"
302,20160225,"Clinton"
1142,20151218,"Trump"
1261,20160112,"Trump"
7292,20160527,"Trump"
8304,20160510,"Clinton"
69,20160314,"Clinton"
209,20160421,"Clinton"
24,20151229,"Clinton"
30495,20151207,"Clinton"
4385,20160513,"Clinton"
4676,20151208,"Trump"
9109,20160223,"Trump"
246,20160423,"Clinton"
42,20160122,"Clinton"
109,20151103,"Clinton"
93,20151118,"Clinton"
24260,20160120,"Trump"
4792,20160402,"Trump"
146,20160422,"Trump"
18937,20160116,"Clinton"
10843,20160407,"Clinton"
52,20160131,"Clinton"
571,20151126,"Clinton"
284,20160524,"Clinton"
4809,20151224,"Trump"
110,20160416,"Clinton"
4878,20151108,"Trump"
6840,20160425,"Trump"
13724,20151116,"Clinton"
42704,20160229,"Trump"
240,20160421,"Trump"
39043,20160217,"Clinton"
6147,20160519,"Trump"
448,20160510,"Clinton"
1331,20151217,"Trump"
11017,20160411,"Trump"
959,20151117,"Trump"
1995,20151215,"Clinton"
299,20151207,"Clinton"
52,20160423,"Trump"
554,20160513,"Clinton"
6110,20160530,"Trump"
3670,20151130,"Trump"
10904,20160214,"Trump"
701,20160116,"Clinton"
